IATA,Name,City,State,Country,Latitude,Longitude
JRH,Jorhat Airport,Jorhat,Assam,India,26.7315,94.1755
TEZ,Tezpur Airport,Tezpur,Assam,India,26.7092,92.7847
DIB,Dibrugarh Airport,Dibrugarh,Assam,India,27.4839,95.0169
GAY,Gaya Airport,Gaya,Bihar,India,24.7443,84.9512
PNY,Puducherry Airport,Puducherry,Puducherry,India,11.9680,79.8128
TCR,Tuticorin Airport,Tuticorin,Tamil Nadu,India,8.7172,78.0256
SXV,Salem Airport,Salem,Tamil Nadu,India,11.7833,78.0667
AGX,Agatti Airport,Agatti,Lakshadweep,India,10.8275,72.1760
IXG,Belagavi Airport,Belagavi,Karnataka,India,15.8593,74.6183
IXX,Bidar Airport,Bidar,Karnataka,India,17.9081,77.4872
HBX,Hubli Airport,Hubli,Karnataka,India,15.3173,75.0849
GBI,Gulbarga Airport,Gulbarga,Karnataka,India,17.3297,76.8344
MYQ,Mysore Airport,Mysore,Karnataka,India,12.2302,76.6558
VDY,Vidyanagar Airport,Toranagallu,Karnataka,India,15.1747,76.6347
RPR,Swami Vivekananda Airport,Raipur,Chhattisgarh,India,21.1804,81.7388
JGB,Jagdalpur Airport,Jagdalpur,Chhattisgarh,India,19.0742,82.0367
PAB,Bilaspur Airport,Bilaspur,Chhattisgarh,India,22.3367,82.1117
JRG,Jharsuguda Airport,Jharsuguda,Odisha,India,21.9136,84.0503
KLH,Kolhapur Airport,Kolhapur,Maharashtra,India,16.6647,74.2894
SDW,Sindhudurg Airport,Sindhudurg,Maharashtra,India,16.0028,73.5264
NDC,Nanded Airport,Nanded,Maharashtra,India,19.1831,77.3156
GDB,Gondia Airport,Gondia,Maharashtra,India,21.5261,80.2903
JLG,Jalgaon Airport,Jalgaon,Maharashtra,India,21.0469,75.7581
ISK,Nashik Airport,Nashik,Maharashtra,India,19.9633,73.8076
BDQ,Vadodara Airport,Vadodara,Gujarat,India,22.3362,73.2263
DIU,Diu Airport,Diu,Dadra and Nagar Haveli & Daman and Diu,India,20.7131,70.9211
BHU,Bhavnagar Airport,Bhavnagar,Gujarat,India,21.7522,72.1850
IXK,Keshod Airport,Keshod,Gujarat,India,21.3172,70.2703
PBD,Porbandar Airport,Porbandar,Gujarat,India,21.6486,69.6572
JGA,Jamnagar Airport,Jamnagar,Gujarat,India,22.4655,70.0125
IXY,Kandla Airport,Kandla,Gujarat,India,23.1128,70.1003
BHJ,Bhuj Airport,Bhuj,Gujarat,India,23.2878,69.6703
REW,Rewa Airport,Rewa,Madhya Pradesh,India,24.5031,81.2200
GWL,Gwalior Airport,Gwalior,Madhya Pradesh,India,26.2933,78.2278
JLR,Jabalpur Airport,Jabalpur,Madhya Pradesh,India,23.1778,80.0520
UDR,Maharana Pratap Airport,Udaipur,Rajasthan,India,24.6177,73.8961
JSA,Jaisalmer Airport,Jaisalmer,Rajasthan,India,26.8889,70.8647
JDH,Jodhpur Airport,Jodhpur,Rajasthan,India,26.2511,73.0489
BKB,Nal Airport,Bikaner,Rajasthan,India,28.0706,73.2072
KQH,Kishangarh Airport,Ajmer,Rajasthan,India,26.6014,74.8142
DHM,Kangra Airport,Kangra,Himachal Pradesh,India,32.1651,76.2634
KUU,Kullu Manali Airport,Kullu,Himachal Pradesh,India,31.8767,77.1542
DGH,Deoghar Airport,Deoghar,Jharkhand,India,24.4497,86.7031
COH,Cooch Behar Airport,Cooch Behar,West Bengal,India,26.3306,89.4672
HSS,Hisar Airport,Hisar,Haryana,India,29.1792,75.7553
DBD,Dhanbad Airport,Dhanbad,Jharkhand,India,23.8342,86.4253
HJR,Khajuraho Airport,Khajuraho,Madhya Pradesh,India,24.8172,79.9186
AVT,Coimbatore International,Coimbatore,Tamil Nadu,India,11.0296,77.0434
IXM,Madurai Airport,Madurai,Tamil Nadu,India,9.8344,78.0933
IXH,Kailashahar Airport,Kailashahar,Tripura,India,24.3300,92.0100
IXQ,Kamalpur Airport,Kamalpur,Tripura,India,24.1300,91.8100
IXN,Khowai Airport,Khowai,Tripura,India,24.0600,91.6000
PXN,Pakyong Airport,Gangtok,Sikkim,India,27.2906,88.5856
NMIA,Navi Mumbai International,Navi Mumbai,Maharashtra,India,18.9883,73.3103
WGC,Warangal Airport,Warangal,Telangana,India,18.0000,79.6000
TRZ,Tiruchirappalli International,Tiruchirappalli,Tamil Nadu,India,10.7654,78.7097
RQY,Shimoga Airport,Shimoga,Karnataka,India,13.9194,75.5492
RAJ,Rajkot International,Rajkot,Gujarat,India,22.3092,70.7794
SLV,Shimla Airport,Shimla,Himachal Pradesh,India,31.0819,77.0681
