Park_Code,Name,Designation,States,Latitude,Longitude,Description,URL,Country,UNESCO_Year
FAT,Fatehpur Sikri,UNESCO World Heritage Site (Cultural),Uttar Pradesh,27.0947,77.6611,"Fatehpur Sikri - UNESCO World Heritage Site. Mughal city built by Akbar, abandoned capital.",https://whc.unesco.org/en/list/255,India,1986
PAT,Group of Monuments at Pattadakal,UNESCO World Heritage Site (Cultural),Karnataka,15.9481,75.8167,Group of Monuments at Pattadakal - UNESCO World Heritage Site. 7th-8th century Chalukya temples.,https://whc.unesco.org/en/list/239,India,1987
ELE,Elephanta Caves,UNESCO World Heritage Site (Cultural),Maharashtra,18.9583,72.9306,Elephanta Caves - UNESCO World Heritage Site. Rock-cut cave temples on Elephanta Island.,https://whc.unesco.org/en/list/244,India,1987
BRI,"Brihadisvara Temple, Thanjavur",UNESCO World Heritage Site (Cultural),Tamil Nadu,10.7828,79.1317,Great Living Chola Temples - Brihadisvara Temple - UNESCO World Heritage Site. 11th century Chola temple.,https://whc.unesco.org/en/list/250,India,1987
GOL,Golconda Fort,UNESCO World Heritage Site (Cultural),Telangana,17.3833,78.4000,Golconda Fort - UNESCO World Heritage Site. Medieval fort and capital of Qutb Shahi dynasty.,https://whc.unesco.org/en/list/,India,2010
QUT,Qutb Minar and its Monuments,UNESCO World Heritage Site (Cultural),Delhi,28.5244,77.1856,Qutb Minar and its Monuments - UNESCO World Heritage Site. 12th-13th century minaret and complex.,https://whc.unesco.org/en/list/233,India,1993
BUD,Buddhist Monuments at Sanchi,UNESCO World Heritage Site (Cultural),Madhya Pradesh,23.4794,77.7397,Buddhist Monuments at Sanchi - UNESCO World Heritage Site. Ancient Buddhist stupas and monasteries.,https://whc.unesco.org/en/list/524,India,1989
HUM,Humayun's Tomb,UNESCO World Heritage Site (Cultural),Delhi,28.5931,77.2506,"Humayun's Tomb - UNESCO World Heritage Site. Mughal mausoleum, precursor to Taj Mahal.",https://whc.unesco.org/en/list/232,India,1993
RED,Red Fort Complex,UNESCO World Heritage Site (Cultural),Delhi,28.6562,77.2410,Red Fort Complex - UNESCO World Heritage Site. Mughal fort and palace in Old Delhi.,https://whc.unesco.org/en/list/231,India,2007
CHA,Champaner-Pavagadh Archaeological Park,UNESCO World Heritage Site (Cultural),Gujarat,22.4833,73.5333,Champaner-Pavagadh Archaeological Park - UNESCO World Heritage Site. Pre-Mughal Islamic and Hindu architecture.,https://whc.unesco.org/en/list/1101,India,2004
CHH,Chhatrapati Shivaji Terminus,UNESCO World Heritage Site (Cultural),Maharashtra,18.9400,72.8353,Chhatrapati Shivaji Terminus - UNESCO World Heritage Site. Historic railway station in Mumbai.,https://whc.unesco.org/en/list/945,India,2004
MOU,Mountain Railways of India,UNESCO World Heritage Site (Cultural),"West Bengal, Tamil Nadu, Himachal Pradesh",27.0500,88.2667,"Mountain Railways of India - UNESCO World Heritage Site. Darjeeling, Nilgiri, and Kalka-Shimla railways.",https://whc.unesco.org/en/list/944,India,1999
RAJ,Rani-ki-Vav,UNESCO World Heritage Site (Cultural),Gujarat,23.8583,72.1019,Rani-ki-Vav - UNESCO World Heritage Site. 11th century stepwell in Patan.,https://whc.unesco.org/en/list/922,India,2014
NAL,Nalanda Mahavihara,UNESCO World Heritage Site (Cultural),Bihar,25.1367,85.4439,Archaeological Site of Nalanda Mahavihara - UNESCO World Heritage Site. Ancient Buddhist university ruins.,https://whc.unesco.org/en/list/1502,India,2016
AHM,Historic City of Ahmedabad,UNESCO World Heritage Site (Cultural),Gujarat,23.0225,72.5714,Historic City of Ahmedabad - UNESCO World Heritage Site. Walled city with unique architecture.,https://whc.unesco.org/en/list/1551,India,2017
VIC,Victorian Gothic and Art Deco Ensembles of Mumbai,UNESCO World Heritage Site (Cultural),Maharashtra,18.9400,72.8353,Victorian Gothic and Art Deco Ensembles of Mumbai - UNESCO World Heritage Site. Colonial architecture.,https://whc.unesco.org/en/list/1480,India,2018
JAI,Jaipur City,UNESCO World Heritage Site (Cultural),Rajasthan,26.9124,75.7873,Jaipur City - UNESCO World Heritage Site. Planned city with unique architecture.,https://whc.unesco.org/en/list/1605,India,2019
KAK,Kakatiya Rudreshwara Temple,UNESCO World Heritage Site (Cultural),Telangana,18.2400,79.8067,Kakatiya Rudreshwara (Ramappa) Temple - UNESCO World Heritage Site. 13th century Kakatiya temple.,https://whc.unesco.org/en/list/1570,India,2021
DHO,Dholavira,UNESCO World Heritage Site (Cultural),Gujarat,23.8867,70.2128,Dholavira: A Harappan City - UNESCO World Heritage Site. Ancient Indus Valley Civilization site.,https://whc.unesco.org/en/list/1645,India,2021
SANT,Santiniketan,UNESCO World Heritage Site (Cultural),West Bengal,23.6833,87.6833,"Santiniketan - UNESCO World Heritage Site. Founded by Rabindranath Tagore, cultural and educational center.",https://whc.unesco.org/en/list/1375,India,2023
HOP,Sacred Ensembles of the Hoysalas,UNESCO World Heritage Site (Cultural),Karnataka,12.8417,76.4833,Sacred Ensembles of the Hoysalas - UNESCO World Heritage Site. 12th-13th century Hoysala temples.,https://whc.unesco.org/en/list/1670,India,2023
MAR,Maratha Military Landscapes,UNESCO World Heritage Site (Cultural),Maharashtra,18.5204,73.8567,Maratha Military Landscapes of India - UNESCO World Heritage Site. Forts and military architecture.,https://whc.unesco.org/en/list/,India,2025
JAN,"Jantar Mantar, Jaipur",UNESCO World Heritage Site (Cultural),Rajasthan,26.9247,75.8247,"Jantar Mantar, Jaipur - UNESCO World Heritage Site. 18th century astronomical observatory.",https://whc.unesco.org/en/list/1338,India,2010
HIL,Hill Forts of Rajasthan,UNESCO World Heritage Site (Cultural),Rajasthan,24.5833,73.6833,"Hill Forts of Rajasthan - UNESCO World Heritage Site. Six hill forts including Chittorgarh, Kumbhalgarh, etc.",https://whc.unesco.org/en/list/247,India,2013
CHL,Great Living Chola Temples,UNESCO World Heritage Site (Cultural),Tamil Nadu,10.7828,79.1317,Great Living Chola Temples - UNESCO World Heritage Site. Three Chola dynasty temples.,https://whc.unesco.org/en/list/250,India,1987
ROC,Rock Shelters of Bhimbetka,UNESCO World Heritage Site (Cultural),Madhya Pradesh,22.9333,77.6167,Rock Shelters of Bhimbetka - UNESCO World Heritage Site. Prehistoric rock art and shelters.,https://whc.unesco.org/en/list/925,India,2003
MOG,Mahabodhi Temple Complex,UNESCO World Heritage Site (Cultural),Bihar,24.6956,84.9914,Mahabodhi Temple Complex at Bodh Gaya - UNESCO World Heritage Site. Site of Buddha's enlightenment.,https://whc.unesco.org/en/list/1056,India,2002
GAN,Gangaikonda Cholapuram,UNESCO World Heritage Site (Cultural),Tamil Nadu,11.2056,79.4500,Great Living Chola Temples - Gangaikonda Cholapuram - UNESCO World Heritage Site. 11th century Chola temple.,https://whc.unesco.org/en/list/250,India,1987
AIR,Airavatesvara Temple,UNESCO World Heritage Site (Cultural),Tamil Nadu,10.9481,79.3569,Great Living Chola Temples - Airavatesvara Temple - UNESCO World Heritage Site. 12th century Chola temple.,https://whc.unesco.org/en/list/250,India,1987
